epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.639,1.43773,6.46662,0.00845,0.0041,0.63636,0.13353,0.07233,1.14297,7.58459,0.0071,0.00046,0.00046,0.00046
2,426.149,1.17659,5.65845,0.00762,0.00401,0.62238,0.14492,0.08707,1.28521,7.30616,0.00845,0.000916735,0.000916735,0.000916735
3,635.853,1.25276,5.08772,0.0081,0.51706,0.27273,0.2778,0.16018,1.32782,6.68456,0.00838,0.00134971,0.00134971,0.00134971
4,851.184,1.32049,4.24909,0.0083,0.4683,0.32867,0.31468,0.18465,1.3372,5.65468,0.00931,0.00175893,0.00175893,0.00175893
5,1063.43,1.31989,3.71953,0.0081,0.48015,0.34965,0.37127,0.22639,1.48803,4.69974,0.01057,0.001802,0.001802,0.001802
6,1278.24,1.33113,3.2543,0.0083,0.39461,0.37063,0.34512,0.22814,1.41344,3.99064,0.00945,0.0017525,0.0017525,0.0017525
7,1483.7,1.37768,2.82416,0.00809,0.54036,0.40284,0.42269,0.25045,1.54706,3.50945,0.00968,0.001703,0.001703,0.001703
8,1698.87,1.38112,2.56937,0.00864,0.60788,0.47552,0.48357,0.30464,1.44208,2.97135,0.00927,0.0016535,0.0016535,0.0016535
9,1914.53,1.25539,2.26915,0.00741,0.70766,0.45708,0.49993,0.29284,1.46949,2.79943,0.00963,0.001604,0.001604,0.001604
10,2127.78,1.35012,2.19623,0.00774,0.62636,0.47552,0.514,0.34942,1.40115,2.60136,0.00941,0.0015545,0.0015545,0.0015545
11,2341.17,1.31359,2.04748,0.00768,0.64181,0.41958,0.4667,0.3254,1.28432,2.51757,0.00845,0.001505,0.001505,0.001505
12,2547.65,1.23854,1.87474,0.00741,0.64628,0.46853,0.49544,0.35606,1.31697,2.39495,0.00823,0.0014555,0.0014555,0.0014555
13,2750.79,1.24063,1.75376,0.00729,0.62893,0.51748,0.51937,0.35635,1.35097,2.38447,0.0087,0.001406,0.001406,0.001406
14,2967.44,1.26815,1.73703,0.00776,0.52392,0.49254,0.45479,0.31083,1.35184,2.41149,0.00909,0.0013565,0.0013565,0.0013565
15,3180.98,1.23617,1.6576,0.0073,0.62191,0.49462,0.52067,0.35668,1.34859,2.28594,0.00827,0.001307,0.001307,0.001307
16,3392.75,1.22839,1.60344,0.00759,0.63601,0.4965,0.51779,0.35559,1.25433,2.27037,0.00743,0.0012575,0.0012575,0.0012575
17,3599.97,1.2198,1.49073,0.00704,0.68439,0.48526,0.55801,0.36053,1.34461,2.06207,0.00844,0.001208,0.001208,0.001208
18,3819.59,1.18419,1.39203,0.00674,0.67235,0.51049,0.56799,0.3956,1.22498,1.94206,0.00778,0.0011585,0.0011585,0.0011585
19,4056.16,1.1299,1.38789,0.00656,0.69393,0.53147,0.56273,0.39887,1.24619,1.96294,0.00739,0.001109,0.001109,0.001109
20,4296.06,1.15602,1.37462,0.00714,0.72166,0.48951,0.56502,0.38952,1.23544,2.01794,0.00777,0.0010595,0.0010595,0.0010595
21,4519.78,1.0853,1.21267,0.00678,0.65422,0.53846,0.5647,0.39723,1.23338,2.05995,0.00741,0.00101,0.00101,0.00101
22,4739.12,1.10503,1.23389,0.00619,0.80158,0.53846,0.59381,0.4051,1.25622,1.8595,0.0076,0.0009605,0.0009605,0.0009605
23,4948.35,1.14283,1.1898,0.00636,0.67447,0.54545,0.58877,0.42223,1.16167,1.92886,0.00703,0.000911,0.000911,0.000911
24,5154.41,1.03961,1.09122,0.00631,0.72611,0.55245,0.59484,0.41691,1.22842,1.93941,0.00784,0.0008615,0.0008615,0.0008615
25,5369.82,1.02333,1.11739,0.00609,0.75638,0.48252,0.56779,0.40956,1.14929,1.99564,0.007,0.000812,0.000812,0.000812
26,5590.15,1.01387,1.08341,0.00596,0.71212,0.54545,0.57923,0.40361,1.21498,1.89892,0.00748,0.0007625,0.0007625,0.0007625
27,5806.24,1.05542,1.09198,0.00615,0.65386,0.5035,0.53283,0.37873,1.22959,1.98325,0.00799,0.000713,0.000713,0.000713
28,6021.28,1.05082,1.03435,0.00601,0.67979,0.50476,0.55058,0.4029,1.20634,1.93447,0.00729,0.0006635,0.0006635,0.0006635
29,6230.54,1.05901,1.04167,0.00603,0.77003,0.54545,0.58279,0.43182,1.16231,1.88664,0.007,0.000614,0.000614,0.000614
30,7115.69,1.01619,0.98048,0.00586,0.73608,0.53846,0.5904,0.43052,1.18588,1.80902,0.00729,0.0005645,0.0005645,0.0005645
