epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.952,1.46252,3.08168,1.31737,0.005,0.77622,0.30357,0.19726,1.17517,3.35253,1.12496,0.00046,0.00046,0.00046
2,296.756,1.30934,2.41604,1.25796,0.73216,0.07649,0.35028,0.22426,1.22818,3.0975,1.16817,0.000916735,0.000916735,0.000916735
3,433.846,1.36544,2.33523,1.27949,0.43514,0.3007,0.28758,0.16364,1.40767,2.86989,1.30316,0.00134971,0.00134971,0.00134971
4,571.16,1.33803,2.11783,1.25284,0.56932,0.3975,0.38373,0.23635,1.38091,2.64314,1.32677,0.00175893,0.00175893,0.00175893
5,701.457,1.36926,2.07917,1.24557,0.41247,0.35664,0.24813,0.15404,1.3745,2.85113,1.26474,0.001802,0.001802,0.001802
6,832.178,1.26055,1.86989,1.20381,0.41778,0.30769,0.23711,0.11209,1.58737,2.92462,1.49188,0.0017525,0.0017525,0.0017525
7,965.274,1.34316,1.76994,1.2337,0.38799,0.45455,0.37289,0.23407,1.39893,2.32215,1.291,0.001703,0.001703,0.001703
8,1099.12,1.26852,1.68608,1.20394,0.66956,0.43357,0.50636,0.32089,1.411,2.04143,1.30326,0.0016535,0.0016535,0.0016535
9,1231.45,1.23319,1.62004,1.18682,0.47077,0.42657,0.39741,0.26421,1.32762,2.19617,1.27141,0.001604,0.001604,0.001604
10,1365.3,1.27584,1.56734,1.20723,0.70614,0.43357,0.51691,0.33788,1.26075,1.8827,1.23634,0.0015545,0.0015545,0.0015545
11,1503.31,1.21273,1.50348,1.18165,0.64147,0.4965,0.55351,0.36928,1.23136,1.926,1.22056,0.001505,0.001505,0.001505
12,1636.76,1.16695,1.43276,1.14515,0.6542,0.44755,0.50603,0.3289,1.34201,1.89138,1.29533,0.0014555,0.0014555,0.0014555
13,1769.09,1.17174,1.41039,1.16271,0.69638,0.46853,0.51405,0.3444,1.31355,1.86233,1.25013,0.001406,0.001406,0.001406
14,1902.3,1.20323,1.43237,1.18992,0.60252,0.51049,0.51196,0.35049,1.25293,1.79219,1.20818,0.0013565,0.0013565,0.0013565
15,2036.92,1.1516,1.33055,1.15263,0.67487,0.57343,0.57945,0.35519,1.38585,1.70473,1.3413,0.001307,0.001307,0.001307
16,2168.93,1.20966,1.33184,1.19763,0.63085,0.53779,0.53078,0.32984,1.33693,1.83682,1.27582,0.0012575,0.0012575,0.0012575
17,2302.87,1.13988,1.30544,1.15953,0.66389,0.45584,0.5101,0.32494,1.43747,1.79885,1.39608,0.001208,0.001208,0.001208
18,2437.24,1.09974,1.25646,1.12765,0.66682,0.48986,0.57033,0.36558,1.32982,1.71661,1.28348,0.0011585,0.0011585,0.0011585
19,2571.82,1.08249,1.19088,1.10999,0.6607,0.52448,0.57837,0.40448,1.16951,1.59237,1.17875,0.001109,0.001109,0.001109
20,2708.78,1.06999,1.18273,1.14077,0.67579,0.52448,0.55658,0.38394,1.18788,1.75151,1.21114,0.0010595,0.0010595,0.0010595
21,2848.78,1.01459,1.10276,1.11982,0.66794,0.53147,0.59806,0.4257,1.21398,1.681,1.22619,0.00101,0.00101,0.00101
22,2980.35,1.02284,1.07854,1.07084,0.75044,0.51049,0.5983,0.41903,1.19285,1.5519,1.21205,0.0009605,0.0009605,0.0009605
23,3113.03,1.0266,1.07338,1.08014,0.72679,0.53147,0.59703,0.41334,1.19842,1.60673,1.2298,0.000911,0.000911,0.000911
