epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.082,1.41816,3.16739,1.3949,0.0045,0.6993,0.0531,0.03033,1.14358,3.53928,1.17296,0.00046,0.00046,0.00046
2,372.931,1.29668,2.48313,1.34645,0.16976,0.28741,0.12866,0.04824,1.65282,3.39552,1.42244,0.000916735,0.000916735,0.000916735
3,554.807,1.31903,2.39247,1.34659,0.4867,0.31469,0.29995,0.16818,1.45255,2.89881,1.40534,0.00134971,0.00134971,0.00134971
4,740.378,1.34644,2.20474,1.33216,0.5941,0.36364,0.35627,0.22377,1.32511,5.41959,1.43064,0.00175893,0.00175893,0.00175893
5,925.682,1.34282,2.07979,1.34287,0.04798,0.36364,0.03193,0.01829,1.42184,20.9957,1.56523,0.001802,0.001802,0.001802
6,1114.28,1.3191,1.94714,1.34727,0.02998,0.39161,0.0177,0.01105,1.51494,7.66991,1.50746,0.0017525,0.0017525,0.0017525
7,1308.3,1.26899,1.79759,1.26692,0.56042,0.42657,0.42315,0.25095,1.50278,2.34398,1.55954,0.001703,0.001703,0.001703
8,1493.39,1.29101,1.75539,1.29381,0.63113,0.44755,0.47746,0.28113,1.45118,2.15661,1.45114,0.0016535,0.0016535,0.0016535
9,1694.52,1.22818,1.64574,1.25858,0.77497,0.47552,0.55771,0.34522,1.40417,1.99199,1.44405,0.001604,0.001604,0.001604
10,1889.06,1.27074,1.61039,1.30092,0.53103,0.4965,0.46446,0.27899,1.40844,2.06787,1.34766,0.0015545,0.0015545,0.0015545
11,2081.97,1.22906,1.57586,1.27961,0.49538,0.47369,0.44011,0.25734,1.42156,2.15075,1.35254,0.001505,0.001505,0.001505
12,2275.88,1.13803,1.46353,1.20876,0.52708,0.5035,0.45394,0.3037,1.23898,2.06651,1.26271,0.0014555,0.0014555,0.0014555
13,2466.15,1.2018,1.48109,1.24984,0.45169,0.33413,0.34572,0.19637,1.42827,2.42627,1.36162,0.001406,0.001406,0.001406
14,2656.12,1.2061,1.4711,1.25516,0.53657,0.38055,0.38245,0.25407,1.26291,2.20309,1.29164,0.0013565,0.0013565,0.0013565
15,2844.76,1.1442,1.39379,1.20463,0.73883,0.49459,0.55417,0.3764,1.22018,1.69809,1.2807,0.001307,0.001307,0.001307
16,3030.65,1.15774,1.36254,1.23795,0.67436,0.45455,0.50174,0.34296,1.19887,1.70112,1.22951,0.0012575,0.0012575,0.0012575
17,3213.13,1.08714,1.28546,1.18861,0.69153,0.43357,0.52794,0.33858,1.35175,1.67242,1.35367,0.001208,0.001208,0.001208
18,3407.11,1.11705,1.27514,1.18164,0.76658,0.47552,0.56633,0.3892,1.22246,1.58721,1.27207,0.0011585,0.0011585,0.0011585
19,3614.06,1.06062,1.2064,1.16148,0.68607,0.50433,0.59197,0.41034,1.14789,1.47784,1.21938,0.001109,0.001109,0.001109
20,3813.51,1.05005,1.21283,1.17547,0.71088,0.51583,0.56748,0.40578,1.19959,1.53551,1.26582,0.0010595,0.0010595,0.0010595
21,4007.97,0.98326,1.1326,1.14444,0.76295,0.48252,0.57144,0.40257,1.28134,1.60776,1.30345,0.00101,0.00101,0.00101
22,4204.63,1.02468,1.12997,1.12749,0.61204,0.52955,0.5331,0.34747,1.26868,1.68157,1.30644,0.0009605,0.0009605,0.0009605
23,4391.84,1.02462,1.1321,1.11506,0.6656,0.59854,0.61892,0.42278,1.20412,1.40162,1.28188,0.000911,0.000911,0.000911
24,4571.23,0.96706,1.04951,1.11982,0.67088,0.55944,0.60384,0.42801,1.16733,1.36906,1.24846,0.0008615,0.0008615,0.0008615
25,4745.43,0.95835,1.0496,1.10822,0.78707,0.53846,0.61715,0.44346,1.14012,1.37745,1.22448,0.000812,0.000812,0.000812
26,4934.67,0.9767,1.00042,1.10784,0.68913,0.52448,0.58522,0.42468,1.1795,1.55804,1.32115,0.0007625,0.0007625,0.0007625
27,5118.49,0.96091,1.02946,1.0902,0.70781,0.55903,0.61029,0.43253,1.13844,1.55629,1.22758,0.000713,0.000713,0.000713
28,5310.48,0.9611,0.97413,1.09988,0.71133,0.5859,0.65648,0.46942,1.08573,1.39897,1.19214,0.0006635,0.0006635,0.0006635
29,5500.34,0.95569,0.96928,1.09781,0.73832,0.53274,0.6165,0.43574,1.15447,1.41327,1.23415,0.000614,0.000614,0.000614
